X,Y,objectid,match_addr,company_name,nace_rev_2_code,kod,interval,odvětví,industry
16.547170447,49.209159743,5979,"Nálepkova 143/97, 637 00, Jundrov, Brno-Jundrov, Brno, Brno-město, Jihomoravský kraj",R-PRO CZ s.r.o.,257,25,10 - 19,"Výroba kovových výrobků, kromě strojů a zařízení","Manufacture of fabricated metal products, except machinery and equipment"
16.5398071130001,49.1938324270001,5980,"Vaňhalova 587/2, 623 00, Kohoutovice, Brno-Kohoutovice, Brno, Brno-město, Jihomoravský kraj",Line Control s.r.o.,331,33,10 - 19,Podpůrné činnosti pro rybolov a akvakulturu,Support activities for fishing and aquaculture
16.58296964,49.2333649190001,5981,"Hudcova 533/78c, 612 00, Medlánky, Brno-Medlánky, Brno, Brno-město, Jihomoravský kraj",PROTOTYPA a.s.,6831,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
16.60019663,49.198305555,5982,"Údolní 1020/18a, 602 00, Veveří, Brno-střed, Brno, Brno-město, Jihomoravský kraj","PRVNÃ MORAVSKÃ SPOLECNOST, spol. s r. o.",6492,64,10 - 19,"Finanční činnosti, kromě pojišťování a penzijního financování","Financial service activities, except insurance and pension funding"
16.686762747,49.2062044510001,5983,"Novolíšeňská 2411/10, 628 00, Líšeň, Brno-Líšeň, Brno, Brno-město, Jihomoravský kraj","Školníjídelna, Brno, Novolíšenská 10, príspevková organizace",5629,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.6690077800001,49.1487869480001,5984,"Hanácká 346/25, 620 00, Tuřany, Brno-Tuřany, Brno, Brno-město, Jihomoravský kraj",SIGVIA CZ s.r.o.,7311,73,10 - 19,"Činnosti v oblasti reklamy, průzkumu trhu a vztahů s veřejností","Activities of advertising, market research and public relations"
16.6139999480001,49.200575165,5985,"Příkop 27/2a, 602 00, Zábrdovice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",COOFINT s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.6869924110001,49.2090506100001,5986,"Bednaříkova 2893/1a, 628 00, Líšeň, Brno-Líšeň, Brno, Brno-město, Jihomoravský kraj",STUDSTAVgroup s.r.o.,4312,43,10 - 19,Specializované stavební činnosti,Specialised construction activities
16.621913052,49.22564263,5987,"Slavíčkova 827/1a, 638 00, Lesná, Brno-sever, Brno, Brno-město, Jihomoravský kraj",Agroprojekt Brno reality s.r.o.,6820,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
16.624547987,49.176406408,5988,"Černovická 253/2c, 617 00, Komárov, Brno-jih, Brno, Brno-město, Jihomoravský kraj",SILPRA silnicnípráce s.r.o.,4211,42,10 - 19,Výstavba inženýrských děl,Civil engineering
16.6554744430001,49.133595251,5989,"Rebešovická 141/13, 643 00, Chrlice, Brno-Chrlice, Brno, Brno-město, Jihomoravský kraj",ZAHRADY RIHÃCEK s.r.o.,16,16,10 - 19,Podpůrné činnosti pro zemědělství a posklizňové činnosti,Support activities to agriculture and post-harvest crop activities
16.6174353550001,49.1518403490001,5990,"Chleborádova 111/45, 619 00, Dolní Heršpice, Brno-jih, Brno, Brno-město, Jihomoravský kraj",APH stavby a technologie s.r.o.,4120,41,10 - 19,Výstavba bytových a nebytových budov,Construction of residential and non-residential buildings
16.6061585100001,49.190083244,5991,"Kopečná 234/12, 602 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj",INTEZA advice a.s.,8211,82,10 - 19,"Administrativní, kancelářské a jiné podpůrné činnosti pro podnikání","Office administrative, office support and other business support activities"
16.6530468760001,49.232907728,5992,"Liští 640/43, 614 00, Obřany, Brno-Maloměřice a Obřany, Brno, Brno-město, Jihomoravský kraj",Print Adámek s.r.o.,58,58,10 - 19,Vydavatelské činnosti,Publishing activities
16.601227856,49.2013229570001,5993,"Smetanova 347/9, 602 00, Veveří, Brno-střed, Brno, Brno-město, Jihomoravský kraj",Periscope svet s.r.o.,7912,79,10 - 19,"Činnosti cestovních agentur, kanceláří a ostatní rezervační a související činnosti","Travel agency, tour operator and other reservation service and related activities"
16.677164127,49.177128635,5994,"Řípská 1549/11a, 627 00, Slatina, Brno-Slatina, Brno, Brno-město, Jihomoravský kraj","ITS Group, SE",6820,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
