X,Y,objectid_1,zuj,alkohol_vinik,hlavni_pricina,srazka,nasledky,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,pneumatiky,druh_pohonu,druh_vozidla,mestska_cast,pohlavi,alkohol,den_v_tydnu,mesic_t,katastr,chovani_chodce,stav_chodce,drogy_chodec,alkohol_chodec,osobni_prepravnik,reflexni_prvky,kategorie_chodce,nasledek,ozn_osoba,zavineni,viditelnost,situovani,osoba,stav_ridic,doba,smrt_po,lz,target_fid_1,join_count_1,objectid,join_count,target_fid,den,vek,smrt_dny,rok_nar,p48a,p59d,rok,tz,smrt,lehce_zran_os,tezce_zran_os,usmrceno_os,id_vozidla,hodina,ovlivneni_ridice,cas,mesic,e,d,id_nehody,datum,hmotna_skoda_1,skoda_vozidlo,globalid
-599702,-1161307,11,Brno-střed,nezjišťováno,nedání přenosti v jízdě,jiný druh nehody,nehoda s následky na životě nebo zdraví,proti příkazu dopravní značky DEJ PŘEDNOST,povrch mokrý,neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Nezjišťován,středa,červen,Pisárky,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3992,1,3992,1,3992,3,43,,1943,2,43,2023,0,0,1,0,0,2,15,1,1505,6,-1161307,-599702,60223000747,2023/06/07 00:00:00+00,0,0,a8c1470a-adc6-4b20-9036-2e14882d6365
-597396,-1160558,12,Brno-střed,ne,nesprávný způsob jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,čtvrtek,červen,Zábrdovice,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3995,1,3995,1,3995,4,41,,1941,1,41,2023,0,0,1,0,0,2,11,1,1139,6,-1160558,-597396,60223000795,2023/06/15 00:00:00+00,45000,10000,d15fe470-2308-4ad1-9de9-7187c22e4013
-598095,-1160902,13,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,pátek,červen,Město Brno,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na kolejích tramvaje,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,3996,1,3996,1,3996,5,49,,1949,1,49,2023,0,0,1,0,0,1,14,1,1445,6,-1160902,-598095,60223000802,2023/06/16 00:00:00+00,10000,10000,e1576cbf-8216-4e7b-83ec-32e07fe0035a
-597870,-1160758,14,Brno-střed,ne,nepřiměřená rychlost jízdy,"srážka s vozidlem zaparkovaným, odstaveným",nehoda s následky na životě nebo zdraví,nepřizpůsobení rychlosti vlastnostem vozidla a nákladu,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,elektro,koloběžka,Brno-střed,žena,Ne,neděle,červenec,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",mimo komunikaci,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,4005,1,4005,1,4005,7,21,,1921,3,21,2023,0,0,1,0,0,1,,1,0,7,-1160758,-597870,60223000893,2023/07/02 00:00:00+00,30000,0,bc70c69c-b559-4af4-8439-9ecde9769d5e
-598279,-1161454,15,Brno-střed,ne,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,neděle,červenec,Staré Brno,,,,,,,,těžké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,4006,1,4006,1,4006,7,66,,1966,1,66,2023,1,0,0,1,0,2,17,1,1730,7,-1161454,-598279,60223000894,2023/07/02 00:00:00+00,6000,5000,fa9bd33f-9f6b-4f52-a5e6-b7610092be55
-597317,-1160116,16,Brno-sever,ne,nedání přenosti v jízdě,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,při vjíždění na silnici,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-sever,muž,Ne,pondělí,červenec,Zábrdovice,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",žádné z uvedenýc,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,4013,1,4013,1,4013,1,46,,1946,1,46,2023,0,0,1,0,0,2,12,1,1230,7,-1160116,-597317,60223000966,2023/07/17 00:00:00+00,22000,2000,ff0325d9-ace6-4fb8-a58e-ae40b1652267
-598182,-1160414,17,Brno-střed,ne,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,žena,Ne,středa,červenec,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",žádné z uvedenýc,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,noc,,1,4014,1,4014,1,4014,3,20,,1920,1,20,2023,0,0,1,0,0,1,1,1,116,7,-1160414,-598182,60223000976,2023/07/19 00:00:00+00,15000,15000,fd7cadba-d77d-45c1-8955-1564f0420fed
-597880,-1160529,18,Brno-střed,ne,nesprávný způsob jízdy,srážka s pevnou překážkou,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,elektro,koloběžka,Brno-střed,chlapec (do 15 let),Ne,čtvrtek,červenec,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na chodníku nebo ostrůvku,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,4016,1,4016,1,4016,4,14,,2014,3,14,2023,0,0,1,0,0,1,18,1,1840,7,-1160529,-597880,60223000987,2023/07/20 00:00:00+00,0,0,fd7c7b34-cd7a-49a6-a275-da3fb99b80c6
-599224,-1161754,19,Brno-střed,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nehoda s následky na životě nebo zdraví,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Nezjišťován,čtvrtek,srpen,Štýřice,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,4034,1,4034,1,4034,4,30,,1930,1,30,2023,0,0,1,0,0,2,20,1,2055,8,-1161754,-599224,60223001114,2023/08/17 00:00:00+00,1000,1000,e9484e60-c781-4bfb-8a62-5959ae6ea3e8
-597887,-1160248,20,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,nezjištěno/žádné,jízdní kolo,Brno-střed,muž,Ne,středa,srpen,Zábrdovice,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,4038,1,4038,1,4038,3,18,,2018,1,18,2023,0,0,1,0,0,1,20,1,2000,8,-1160248,-597887,60223001143,2023/08/23 00:00:00+00,0,0,07195a51-ee2e-4d24-9898-6b2e299abf35
