X,Y,objectid_1,zuj,alkohol_vinik,hlavni_pricina,srazka,nasledky,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,pneumatiky,druh_pohonu,druh_vozidla,mestska_cast,pohlavi,alkohol,den_v_tydnu,mesic_t,katastr,chovani_chodce,stav_chodce,drogy_chodec,alkohol_chodec,osobni_prepravnik,reflexni_prvky,kategorie_chodce,nasledek,ozn_osoba,zavineni,viditelnost,situovani,osoba,stav_ridic,doba,smrt_po,lz,target_fid_1,join_count_1,objectid,join_count,target_fid,den,vek,smrt_dny,rok_nar,p48a,p59d,rok,tz,smrt,lehce_zran_os,tezce_zran_os,usmrceno_os,id_vozidla,hodina,ovlivneni_ridice,cas,mesic,e,d,id_nehody,datum,hmotna_skoda_1,skoda_vozidlo,globalid
-597748.835999999,-1160746.032,191,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71624,1,71624,1,71624,6,31,1,1987,3,87,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,d2688a56-83e8-4294-bd48-c2688bbb7db0
-597748.835999999,-1160746.032,192,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71625,1,71625,1,71625,6,32,1,1986,3,86,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,c236a75c-d2cf-4af6-9875-9770e3c0f606
-597748.835999999,-1160746.032,193,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71626,1,71626,1,71626,6,33,1,1985,3,85,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,85743feb-799e-4fa4-a31d-3d28d588beee
-597748.835999999,-1160746.032,194,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71627,1,71627,1,71627,6,32,1,1986,3,86,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,8bda43a8-e37a-4ad4-8ce1-7bf6265ee463
-597748.835999999,-1160746.032,195,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,muž,Ne,sobota,květen,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71628,1,71628,1,71628,6,43,1,1975,3,75,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,44488e69-acc4-4219-892e-170f5e88bcd1
-597748.835999999,-1160746.032,196,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71629,1,71629,1,71629,6,32,1,1986,3,86,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,39ecb4bf-4d63-41df-aae5-212aed85c06c
-597748.835999999,-1160746.032,197,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71630,1,71630,1,71630,6,33,1,1985,3,85,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,a72a1289-33d8-4f87-99fb-9f0b35c8d316
-597748.835999999,-1160746.032,198,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71631,1,71631,1,71631,6,37,1,1981,3,81,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,733fb928-0c30-4e36-b8d8-db891bd6dc74
-597748.835999999,-1160746.032,199,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71632,1,71632,1,71632,6,30,1,1988,3,88,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,8b6475c9-9d7b-4298-bc41-472f8ad84a8d
-597748.835999999,-1160746.032,200,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71633,1,71633,1,71633,6,33,1,1985,3,85,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,3d897802-07fe-478a-94c1-b576e300a01e
-597748.835999999,-1160746.032,201,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,ostatní spolucestující (i v postranním vozíku motocyklu),dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71634,1,71634,1,71634,6,32,1,1986,3,86,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,6f9aeb9f-36d4-4e97-ac63-8f788f3ded33
-597748.835999999,-1160746.032,202,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,muž,Ne,sobota,květen,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71635,1,71635,1,71635,6,54,1,1964,3,64,2018,0,0,3,0,0,1,14,1,1438,5,-1160746.032,-597748.836,60206180933,2018/05/19 00:00:00+00,0,0,1f21c1e9-38d0-478a-8b59-8b051c1bfdda
-597460.401000001,-1161198.881,203,Brno-střed,nezjišťováno,nezaviněno řidičem,jiný druh nehody,nehoda s následky na životě nebo zdraví,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,žena,Nezjišťován,úterý,květen,Trnitá,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",jiné zaviněn,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71642,1,71642,1,71642,2,30,1,1988,1,88,2018,0,0,1,0,0,2,7,1,750,5,-1161198.881,-597460.401,60206181005,2018/05/29 00:00:00+00,20000,10000,17868046-77f7-425a-ac6c-8e1d33ae0754
-598135.609999999,-1160357.139,204,Brno-střed,ne,nedání přenosti v jízdě,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,při odbočování vlevo,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),,,jízdní kolo,Brno-střed,žena,Ne,pátek,červen,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71649,1,71649,1,71649,5,49,1,1969,1,69,2018,0,0,1,0,0,2,18,1,1850,6,-1160357.139,-598135.61,60206181147,2018/06/15 00:00:00+00,21000,1000,f0715fc8-5763-4a5c-85d6-a67fce512d6d
-597748.313000001,-1160163.879,205,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,muž,Ne,neděle,červen,Černá Pole,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,den,,1,71651,1,71651,1,71651,7,52,1,1966,1,66,2018,0,0,1,0,0,1,20,0,2030,6,-1160163.879,-597748.313,60206181162,2018/06/17 00:00:00+00,3000,2000,5c8330a2-d9b6-47fb-891b-c90ee7eb2b5d
-597838.566,-1160742.713,206,Brno-střed,ano,nepřiměřená rychlost jízdy,"srážka s vozidlem zaparkovaným, odstaveným",nehoda pouze s hmotnou škodou,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,muž,"Ano, obsah alkoholu v krvi 1,5‰ a více",pondělí,červenec,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,noc,,0,71660,1,71660,1,71660,1,34,1,1984,1,84,2018,0,0,0,0,0,1,2,1,20,7,-1160742.713,-597838.566,60206181269,2018/07/02 00:00:00+00,10000,0,8ec46699-e22b-4642-9dde-c32e0ec50b02
-598119.350000001,-1162203.793,207,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,pátek,červenec,Trnitá,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na stezce pro cyklisty,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71665,1,71665,1,71665,5,18,1,2000,1,0,2018,0,0,1,0,0,1,11,1,1125,7,-1162203.793,-598119.35,60206181340,2018/07/13 00:00:00+00,0,0,b8867e8d-1296-4c92-9b22-b9fdb1946002
-599149.333000001,-1160329.993,208,Brno-střed,ne,nezaviněno řidičem,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,muž,Ne,čtvrtek,červenec,Město Brno,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",jiným účastníkem silničního provozu,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71668,1,71668,1,71668,4,49,1,1969,1,69,2018,0,0,1,0,0,2,17,1,1725,7,-1160329.993,-599149.333,60206181386,2018/07/19 00:00:00+00,12000,2000,0a404ceb-f137-4706-9b4a-1e21b59cd00e
-598532.024,-1160457.554,209,Brno-střed,ano,nepřiměřená rychlost jízdy,havárie,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,žena,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",středa,červenec,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",na kolejích tramvaje,řidič,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",noc,,1,71671,1,71671,1,71671,3,26,1,1992,1,92,2018,0,0,1,0,0,1,2,1,25,7,-1160457.554,-598532.024,60206181412,2018/07/25 00:00:00+00,1000,1000,085381b9-585f-42d2-ba9f-2a8666cfb7a4
-597811.769000001,-1161067.977,210,Brno-střed,ne,nepřiměřená rychlost jízdy,jiný druh nehody,nehoda s následky na životě nebo zdraví,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,muž,Ne,neděle,červenec,Město Brno,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71674,1,71674,1,71674,7,32,1,1986,1,86,2018,0,0,1,0,0,1,18,1,1815,7,-1161067.977,-597811.769,60206181440,2018/07/29 00:00:00+00,2000,0,b834df05-8808-44ce-92ba-5ede89cc983a
-598585.102000002,-1162030.457,211,Brno-střed,ne,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,muž,Ne,pondělí,červenec,Štýřice,,,,,,,,bez zraněn,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na stezce pro cyklisty,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71675,1,71675,1,71675,1,33,1,1985,1,85,2018,0,0,1,0,0,2,11,1,1105,7,-1162030.457,-598585.102,60206181443,2018/07/30 00:00:00+00,4000,3000,212f78d1-faab-4ee8-81cc-a8f1979c41b8
-598585.102000002,-1162030.457,212,Brno-střed,ne,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,muž,Ne,pondělí,červenec,Štýřice,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na stezce pro cyklisty,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71676,1,71676,1,71676,1,50,1,1968,1,68,2018,0,0,1,0,0,1,11,1,1105,7,-1162030.457,-598585.102,60206181443,2018/07/30 00:00:00+00,4000,3000,24fe569a-4859-4af6-9481-f8749a4af32b
-599643.605999999,-1161741.691,213,Brno-střed,ne,nepřiměřená rychlost jízdy,havárie,nehoda s následky na životě nebo zdraví,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,žena,Ne,pondělí,srpen,Štýřice,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71681,1,71681,1,71681,1,23,1,1995,1,95,2018,0,0,1,0,0,1,16,1,1600,8,-1161741.691,-599643.606,60206181494,2018/08/06 00:00:00+00,5000,5000,ba1d92da-777b-4f79-a6c7-b17439651621
-597625.374000002,-1160705.791,214,Brno-střed,ne,nedání přenosti v jízdě,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,při odbočování vlevo,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),,,jízdní kolo,Brno-střed,muž,Ne,úterý,srpen,Město Brno,,,,,,,,lehké zranění,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71685,1,71685,1,71685,2,31,1,1987,1,87,2018,0,0,1,0,0,1,19,1,1910,8,-1160705.791,-597625.374,60206181554,2018/08/14 00:00:00+00,25000,20000,d11fe57e-4a97-4765-899b-60cdbf601b1a
-597522.16,-1160637.186,215,Brno-střed,ano,nedání přenosti v jízdě,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,při odbočování vlevo,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,muž,Pod vlivem drog,středa,srpen,Zábrdovice,,,,,,,,těžké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71692,1,71692,1,71692,3,31,1,1987,1,87,2018,1,0,0,1,0,2,11,1,1106,8,-1160637.186,-597522.16,60206181638,2018/08/29 00:00:00+00,60000,10000,8e5c326d-e686-457f-897b-e677fdf168fd
-598559.131000001,-1160216.924,216,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,muž,Ne,pondělí,říjen,Veveří,,,,,,,,lehké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,1,71715,1,71715,1,71715,1,39,1,1979,1,79,2018,0,0,1,0,0,1,19,1,1935,10,-1160216.924,-598559.131,60206182070,2018/10/29 00:00:00+00,2000,2000,d5440471-bd0f-47ee-b837-9653e766d9eb
-598342.852000002,-1161022.985,217,Brno-střed,ne,nesprávný způsob jízdy,srážka s pevnou překážkou,nehoda pouze s hmotnou škodou,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,,,jízdní kolo,Brno-střed,muž,Ne,neděle,listopad,Město Brno,,,,,,,,bez zraněn,"bez přilby (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71718,1,71718,1,71718,7,23,1,1995,3,95,2018,0,0,0,0,0,1,8,1,805,11,-1161022.985,-598342.852,60206182174,2018/11/11 00:00:00+00,5000,0,662b0ac2-1512-462c-b742-0ac036ea3147
-598645.991999999,-1161805.748,218,Brno-střed,ne,nesprávný způsob jízdy,srážka s jedoucím nekolejovým vozidlem,nehoda s následky na životě nebo zdraví,jiný druh nesprávného způsobu jízdy,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,chlapec (do 15 let),Ne,sobota,listopad,Staré Brno,,,,,,,,těžké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71720,1,71720,1,71720,6,5,1,2013,1,13,2018,1,0,0,1,0,1,13,1,1340,11,-1161805.748,-598645.992,60206182222,2018/11/17 00:00:00+00,7000,1000,e6a907da-4921-4339-be6a-c919688babfb
-597781.197000001,-1162128.652,219,Brno-střed,ne,nesprávný způsob jízdy,srážka s pevnou překážkou,nehoda pouze s hmotnou škodou,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace místní,,,jízdní kolo,Brno-střed,muž,Ne,čtvrtek,duben,Trnitá,,,,,,,,bez zraněn,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na krajnici,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71728,1,71728,1,71728,4,20,1,1999,3,99,2019,0,0,0,0,0,1,18,1,1810,4,-1162128.652,-597781.197,60206190687,2019/04/04 00:00:00+00,1000,0,681d89a3-06ee-4bf3-8c03-2a081cd113f3
-598270.245999999,-1161375.915,220,Brno-střed,ne,nesprávný způsob jízdy,havárie,nehoda s následky na životě nebo zdraví,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,parkoviště přiléhající ke komunikaci,komunikace sledovaná (ve vybraných městech),,,jízdní kolo,Brno-střed,muž,Ne,pátek,duben,Město Brno,,,,,,,,těžké zranění,"s přilbou (pouze u motocyklistů, příp. cyklistů)",řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",na jízdním pruhu,řidič,dobrý -žádné nepříznivé okolnosti nebyly zjiště,den,,0,71734,1,71734,1,71734,5,45,1,1974,1,74,2019,1,0,0,1,0,1,15,1,1510,4,-1161375.915,-598270.246,60206190808,2019/04/19 00:00:00+00,10000,10000,6ebb3551-b953-483f-8004-da711810f7b3
